x_0,y_0,theta,v_p,v_c,OF1,OF3,OF2,Simulator,SafeViol
31.757403,45.861173,86.356629,1.972114,18.693686,0.43767,0.054536,0,PreScan,False
31.760502,44.394851,120.643408,4.661148,22.998545,0.627088,0.06345,0,PreScan,True
31.769591,46.824935,124.420717,1.162855,14.040913,0.117441,0.109715,0,PreScan,False
31.774016,46.755155,124.602448,1.156054,14.14262,0.065805,0.145397,0,PreScan,True
31.777053,45.059403,127.620704,1.734961,10.824467,0.069259,4,0.062491,PreScan,True
31.789433,45.98042,86.321161,1.976271,18.698953,0.565317,0.054033,0,PreScan,False
31.804521,47.957846,151.833141,1.005105,14.169384,0.177146,0.066538,0,PreScan,False
31.812299,47.854278,150.541214,1,14.311434,0.096194,0.094965,0,PreScan,True
31.829272,45.1447,130.615772,1.734713,10.447887,0.0517,4,0.078253,PreScan,True
31.830467,45.146315,130.515167,1.735047,10.442082,0.015625,4,0.063413,PreScan,True
31.831342,45.144485,130.542909,1.735045,10.443055,0.016863,4,0.06685,PreScan,True
31.831464,45.150733,130.395912,1.735069,10.411632,0.044428,0.096411,0.050009,PreScan,False
31.833423,44.747978,117.154786,2.75691,15.04582,0.747252,0.071483,0,PreScan,False
31.839908,44.065403,115.563213,4.956673,23.820444,0.758408,0.042164,0,PreScan,True
31.859496,44.761781,119.553996,2.846017,14.967586,0.787951,0.067315,0,PreScan,False
31.939328,46.15955,123.694542,1.253154,12.839357,0.178548,0.091441,0,PreScan,False
31.941803,46.097677,123.992846,1.254404,12.748866,0.230011,0.08403,0,PreScan,False
31.995332,47.777156,132.781581,1,15.913401,0.402596,0.066632,0,PreScan,False
32.209304,47.096511,131.636657,1,13.611402,0.057565,0.151441,0,PreScan,True
32.496708,42.83886,64.979664,5,23.064665,1.066616,0.060255,0,PreScan,True
32.500963,42.802307,65.092678,5,23.062085,1.035976,0.058215,0.024341,PreScan,True
32.658611,41.282615,80.890254,5,23.458438,0.38327,0.107366,0.073629,PreScan,True
32.66319,41.28462,80.896156,5,23.455762,0.381535,0.107611,0.030836,PreScan,True
32.846243,41.338043,80.741079,5,23.473035,0.317951,0.066736,0.326271,PreScan,True
32.850822,41.340048,80.74698,5,23.470359,0.318124,0.066962,0.284185,PreScan,True
33.925116,42.998749,121.063135,3.405868,15.199568,0.060816,4,0.084998,PreScan,True
33.928506,42.990691,121.063031,3.405851,15.19629,0.061702,4,0.06935,PreScan,True
33.971789,42.998624,121.063682,3.407557,15.209523,0.080057,4,0.02437,PreScan,True
33.994663,45.29949,123.175772,1.339764,10.816894,0.194541,0.101286,0.063898,PreScan,False
34.264346,43.373041,120.919933,3.397819,15.104458,0.512333,0.0631,0.114586,PreScan,True
34.269562,43.371702,120.918809,3.39726,15.10446,0.511172,0.063422,0.103312,PreScan,True
34.416691,42.074033,85.535587,5,24.106482,0.520768,0.05871,0.267227,PreScan,True
34.601446,44.829161,131.691391,2.326665,13.497371,0.047618,0.074694,0.027986,PreScan,False
34.698025,42.973422,121.02308,3.369164,15.087821,0.151188,4,0.015242,PreScan,True
34.902167,40.752376,75.292347,5,22.67634,0.140412,0.091616,0.133859,PreScan,True
34.942659,44.425828,123.206027,2.540603,15.790215,0.037203,4,0.059374,PreScan,True
35.020326,44.41529,122.862061,2.539258,15.709958,0.014777,4,0.13698,PreScan,True
35.109856,44.238104,113.387592,2.494926,14.854176,0.524254,0.128171,0,PreScan,False
35.111028,44.967579,87.223838,1.784548,17.903301,0.313203,0.060105,0.209925,PreScan,False
35.121348,44.181883,113.43773,2.507703,14.860584,0.490244,0.223397,0,PreScan,True
35.155177,44.602897,108.354557,2.2044,14.17896,0.757017,0.071032,0,PreScan,False
35.236356,44.96317,88.048362,1.780317,17.979574,0.334236,0.060133,0.227591,PreScan,False
35.351749,41.516008,76.236454,5,23.485361,0.431811,0.047878,0.281984,PreScan,True
35.751334,43.559729,125.804163,3.515375,17.396892,0.06713,4,0.020334,PreScan,True
36.00904,46.81293,137.154432,1.173579,10.858426,0.472133,0.091967,0,PreScan,False
36.173339,45.807353,54.388433,2.168191,22.570204,0.060281,0.050169,0,PreScan,True
36.182619,45.802577,54.310729,2.162089,22.606581,0.012867,0.048052,0,PreScan,True
36.318526,41.645004,84.319556,5,23.787164,0.614245,0.063621,0.084209,PreScan,True
36.39541,45.799091,53.799703,2.167933,22.565834,0.000777,0.061897,0,PreScan,True
36.399203,45.799555,53.803089,2.16743,22.5678,0.000534,0.0619,0,PreScan,True
36.633523,43.251369,122.998741,4.001221,17.007753,0.866289,0.058561,0,PreScan,False
37.10912,43.119186,123.63395,4.258442,18.193262,0.729854,0.144481,0,PreScan,True
37.109328,42.506679,123.399353,2.523838,11.05006,0.026516,0.10912,0.041809,PreScan,False
37.509736,42.615435,117.197861,2.712467,13.911027,0.206016,0.080371,0.067003,PreScan,False
37.958862,44.169819,122.160494,3.135032,17.52315,0.629034,0.060439,0,PreScan,False
37.959039,44.200316,122.148953,3.118385,17.570583,0.621823,0.056411,0,PreScan,False
38.050394,43.543859,125.700012,2.215164,10.768923,0.431401,4,0,PreScan,True
38.252302,43.487939,140.007734,3.848751,13.802574,0.351081,0.059713,0.040635,PreScan,True
38.252359,43.448592,139.923265,3.792831,13.814584,0.254229,0.059852,0.073529,PreScan,True
38.293172,44.298554,92.646443,1.739556,14.58816,0.062418,0.07039,0.03844,PreScan,False
38.293793,44.298434,92.646602,1.73934,14.586909,0.064768,0.070372,0.039059,PreScan,False
38.322925,44.2913,92.885744,1.722565,14.68076,0.051289,0.100401,0.096539,PreScan,False
38.338139,44.290597,92.547645,1.734364,14.617463,0.030942,0.069439,0.056228,PreScan,False
38.351943,44.974153,134.274334,2.400984,13.208909,0.612869,0.073579,0,PreScan,False
38.429362,43.425494,125.875018,2.230899,10,0.777927,0.108598,0,PreScan,False
38.562695,43.381241,125.891474,2.209771,10,0.702223,0.155686,0,PreScan,True
38.664428,46.31965,44.124362,1.401575,16.135219,0.047401,0.066764,0,PreScan,False
38.712056,45.797637,99.996288,2.018696,22.546019,0.368108,0.048734,0,PreScan,True
39.073052,43.52792,125.109446,2.29478,10.655493,0.860355,0.094859,0,PreScan,False
39.30588,44.900392,45.48554,2.007157,15.219565,0.186971,0.080979,0,PreScan,False
39.449814,46.32038,40,1.426905,15.922351,0.052712,0.068401,0,PreScan,False
39.820996,46.576012,140.978984,2.022019,16.352854,0.611225,0.060742,0,PreScan,False
39.925591,46.498092,144.067179,1.939238,16.45739,0.225491,0.180797,0,PreScan,True
40.160629,46.041439,160,3.685834,12.827836,0.357033,0.215377,0,PreScan,True
40.287199,44.269293,93.383246,2.35752,20.03211,0.184922,0.050819,0,PreScan,True
40.291583,42.115266,137.663657,3.601765,11.786616,0.097128,4,0.018638,PreScan,True
40.310931,44.24818,93.408726,2.340938,20.145323,0.113043,0.080232,0,PreScan,True
40.332835,48,160,1.417188,16.642107,0.291145,0.362914,0,PreScan,True
