id,ps_x,ps_y,ps_orient,ps_vp,ps_vc,ps_of1,ps_of2,ps_of3,ps_det,ps_col,sivic_x,sivic_y,sivic_orient,sivic_vp,sivic_vc,sivic_of1,sivic_of2,sivic_of3,sivic_det,sivic_col,sivic_conf,theory_of1,SafeViol
375,78.75984,42.24366,142.60823,2.88435,24.39585,1.379925,0.138547,0.147795,0,0,203.940162,309.506343,-37.391769,2.884348,87.825048,0.496574,4,0.052504,0,1,0.35,0.850385,1
376,78.77747,44.20195,137.79704,1.41151,19.90554,1.027614,0.124164,0.056528,0,1,203.922527,307.548048,-42.202965,1.411508,71.659944,0.164798,0.093783,0,1,1,0.35,1.846338,0
377,78.77873,44.20192,137.79236,1.41275,19.90554,1.024152,0.124082,0.058653,0,1,203.921268,307.548078,-42.207639,1.412751,71.659926,0.131787,4,0,0,1,0.4,1.843242,1
378,78.80362,44.24278,137.70466,1.36782,19.90657,1.087666,0.128728,0.016766,0,1,203.896377,307.507223,-42.295336,1.367819,71.663646,0.382159,4,0.221796,0,1,0.25,1.927116,1
379,78.80475,44.24897,137.88524,1.41586,19.91287,0.984736,0.121736,0.073071,0,1,203.895254,307.501032,-42.114758,1.415864,71.68632,0.086312,4,0,0,1,0.5,1.781776,1
380,79.09281,44.0049,151.10691,3.01988,23.66703,0.402603,4,0,0,1,203.607186,307.745102,-28.893089,3.019884,85.201291,0.439239,4,0,0,0,0.25,2.315354,1
381,79.25238,42.92336,155.142,5,24.9153,0.260526,4,0,0,1,203.447625,308.826643,-24.858004,5,89.695065,0.480439,4,0,0,0,0.75,6.145531,1
382,79.43531,44.60999,153.40594,2.98352,25,0.349533,0.043578,0,0,1,203.264686,307.140015,-26.59406,2.98352,90,0.076611,4,0,0,1,0.5,2.643631,1
383,79.45252,39.73415,143.10046,3.93151,24.36225,2.244388,4,0.035509,0,0,203.247478,312.015854,-36.899542,3.931512,87.704097,0.657647,4,0.046744,0,1,0.55,0.913737,1
384,79.56433,44.26294,150.58279,2.74073,25,0.636261,0.074713,0.03058,0,1,203.135669,307.487061,-29.417207,2.740733,90,0.324256,4,0.53298,0,1,0.4,1.466664,1
385,79.57289,44.87167,160,3.56089,23.33133,0.296666,4,0,0,1,203.127108,306.878326,-20,3.560887,83.992772,0.153568,4,0,0,1,0.65,5.665337,1
386,79.77029,45.08814,148.20118,1.84638,21.54863,0.349974,0.054869,0,0,1,202.929713,306.661865,-31.798825,1.846375,77.575058,0.401385,0.045618,0,1,1,0.25,0.644749,0
387,79.77313,43.67004,142.29738,2.09012,23.35818,1.056156,0.112909,0.03185,0,1,202.926871,308.079964,-37.702618,2.090124,84.089462,0.081441,4,0.242379,0,1,0.65,0.973215,1
388,79.77328,43.67016,142.31077,2.09022,23.3582,1.056895,0.112881,0.032998,0,1,202.926717,308.079845,-37.689235,2.090221,84.089526,0.081496,4,0.242085,0,1,0.7,0.971824,1
389,80.10784,42.67495,154.36009,4.11941,22.53795,0.679092,0.074537,0.006304,0,1,202.59216,309.075046,-25.639912,4.119412,81.136613,0.566121,4,0,0,0,0.35,4.851426,1
390,80.48671,40.54767,144.75098,3.72883,24.09829,1.874611,4,0.137251,0,0,202.213292,311.202329,-35.249018,3.728834,86.753854,0.519024,4,0.042279,0,1,0.45,0.12252,1
391,80.56936,40.77238,143.72704,3.71023,24.07719,1.485745,0.1616,0.129729,0,0,202.130636,310.977618,-36.272965,3.710231,86.677868,0.338975,4,0.285277,0,1,0.6,0.074528,1
392,80.57918,40.61947,144.38766,3.7239,24.10249,1.743428,4,0.147643,0,0,202.120823,311.13053,-35.612336,3.723897,86.768977,0.109867,4,0.528965,0,1,0.6,0.112725,1
393,80.72913,40.69865,144.12287,3.74958,24.10081,1.566601,4,0.159833,0,0,201.97087,311.051351,-35.877128,3.749583,86.76292,0.19359,4,0.392861,0,1,0.8,0.026713,1
394,80.87649,43.42144,152.07112,3.72049,25,0.403333,0.049821,0,0,1,201.823508,308.32856,-27.928877,3.720486,90,0.4131,4,0,0,0,0.85,3.337645,1
395,81.40515,44.08045,145.50117,1.9107,19.98824,0.628378,0.080852,0.055719,0,1,201.294851,307.66955,-34.498833,1.910698,71.957675,0.507506,0.346093,0,0,0,0.25,0.169648,1
396,81.41625,44.08667,145.30701,1.89273,19.9861,0.647729,0.08559,0.063435,0,1,201.283751,307.663333,-34.692992,1.892732,71.949961,0.584728,0.433254,0,0,0,0.25,0.101685,1
397,81.46756,42.83568,149.99765,3.13732,22.38696,0.880666,0.117928,0.108691,0,1,201.232443,308.914324,-30.002351,3.137323,80.593062,0.614235,4,0,0,0,0.55,2.062247,1
398,81.54913,44.08185,145.32781,1.93271,19.98725,0.57015,0.079552,0,0,1,201.15087,307.668146,-34.672187,1.932705,71.954097,0.630403,0.433254,0,0,0,0.2,0.230508,1
399,81.59192,44.86148,150.93348,2.73348,24.77762,0.084004,0.065166,0,0,1,201.108077,306.888525,-29.066522,2.733481,89.199414,0.726756,0.400133,0,0,0,0.15,2.319996,1
400,82.20107,40.12638,142.24254,3.67527,24.40257,1.902577,4,0.07075,0,0,200.498926,311.623619,-37.757464,3.67527,87.84924,0.189624,4,0.495003,0,1,0.45,0.908611,1
