id,ps_x,ps_y,ps_orient,ps_vp,ps_vc,ps_of1,ps_of2,ps_of3,ps_det,ps_col,sivic_x,sivic_y,sivic_orient,sivic_vp,sivic_vc,sivic_of1,sivic_of2,sivic_of3,sivic_det,sivic_col,sivic_conf,theory_of1,SafeViol
149,40.310931,44.24818,93.408726,2.340938,20.145323,0.113043,0.080232,0,0,1,242.389069,307.50182,-86.591274,2.340938,72.523163,0.497704,4,0.985417,0,1,0.35,5.502157,1
150,40.332835,48,160,1.417188,16.642107,0.291145,0.362914,0,0,1,242.367165,303.75,-20,1.417188,59.911585,0.646069,4,0,0,1,0.45,1.132725,1
151,40.335651,46.781912,52.152876,1.485657,24.962694,0.061223,0.041944,0,0,1,242.364349,304.968088,-127.847124,1.485657,89.865698,0.924164,0.302494,0.826752,1,1,0.15,1.671879,1
152,40.339081,47.979604,159.89396,1.408188,16.613459,0.271767,0.36803,0,0,1,242.360919,303.770396,-20.10604,1.408188,59.808452,0.698964,4,0,0,1,0.55,1.096312,1
153,40.357209,44.271099,93.361886,2.360094,19.968283,0.213858,0.050333,0,0,1,242.342791,307.478901,-86.638114,2.360094,71.885819,0.634147,4,2.675252,0,0,0.4,5.478621,1
154,40.373594,46.777821,52.13118,1.475288,25,0.065275,0.044001,0,0,1,242.326406,304.972179,-127.86882,1.475288,90,0.934858,0.233603,0.864033,1,1,0.1,1.687385,1
155,40.441692,46.79393,52.12363,1.462023,24.986061,0.106541,0.041685,0,0,1,242.258308,304.95607,-127.87637,1.462023,89.94982,0.952397,0.302489,0.741983,1,1,0.2,1.681685,1
156,40.515193,46.748265,52.153302,1.477967,25,0.089145,0.041791,0,0,1,242.184807,305.001735,-127.846698,1.477967,90,0.986114,0.155207,0.633673,1,1,0.15,1.709839,1
157,40.649601,46.976872,103.759094,1,18.500098,0.290071,0.054051,0,1,1,242.050399,304.773128,-76.240906,1,66.600353,0.192725,4,0,0,1,0.35,2.526454,0
158,40.652995,46.911837,103.349652,1.007662,18.45016,0.252045,0.059485,0,1,1,242.047005,304.838163,-76.650348,1.007662,66.420576,0.300495,0.093783,0.332863,1,1,0.15,2.601299,0
159,40.708572,46.745966,103.52213,1,18.533924,0.108322,0.053436,0,1,1,241.991428,305.004034,-76.47787,1,66.722126,0.397842,0.286448,0.757313,1,1,0.2,2.765986,0
160,40.723164,46.745383,103.183872,1,18.471878,0.095943,0.061255,0,1,1,241.976836,305.004617,-76.816128,1,66.498761,0.456424,0.141939,0.171524,1,1,0.1,2.776838,0
161,40.834398,44.899735,130.3608,1.82853,15.206412,0.426373,0.069373,0.052317,1,1,241.865602,306.850265,-49.6392,1.82853,54.743083,0.645091,0.190072,0.223553,1,1,0.2,2.181799,0
162,40.838571,44.925976,130.202649,1.82523,15.176217,0.393325,0.069033,0.066738,1,1,241.861429,306.824024,-49.797351,1.82523,54.634381,0.629636,0.190079,0.139843,1,1,0.2,2.164956,0
163,40.855182,43.34958,98.06308,1.681844,12.164311,0.06347,0.081678,0.19708,1,1,241.844818,308.40042,-81.93692,1.681844,43.79152,0.425261,0.15892,0.854937,1,1,0.15,5.952694,0
164,40.942827,45.170844,129.172034,1.866592,15.158736,0.045024,4,0,0,1,241.757173,306.579156,-50.827966,1.866592,54.57145,0.328138,4,0.652355,0,1,0.3,1.917448,1
165,41.057751,44.900917,124.212706,1.493202,13.266822,0.302826,0.077993,0.01326,1,1,241.642249,306.849083,-55.787294,1.493202,47.760559,0.884134,0.286422,0.37032,1,1,0.1,2.717646,0
166,41.160833,45.914675,145.965819,2.535621,14.904831,0.557559,0.06579,0,1,1,241.539167,305.835325,-34.034181,2.535621,53.657392,0.288042,4,0,0,1,0.75,1.203599,0
167,41.332663,38.838614,105.342591,4.388691,16.434146,0.008294,0.080102,0.200645,1,1,241.367337,312.911386,-74.657409,4.388691,59.162926,1.870744,4,1.238618,0,0,0.2,8.825097,0
168,41.33553,38.839809,105.347474,4.385997,16.433972,0.009629,0.080371,0.186453,1,1,241.36447,312.910191,-74.652526,4.385997,59.162299,1.876774,0.286397,1.200875,1,0,0.15,8.824112,0
169,41.346319,38.83733,105.347016,4.387987,16.432715,0.022392,0.080928,0.140463,1,1,241.353681,312.91267,-74.652984,4.387987,59.157774,1.875844,4,1.179175,0,0,0.15,8.825052,0
170,41.349102,38.838915,105.340663,4.389071,16.431887,0.028343,0.081171,0.123126,1,1,241.350898,312.911085,-74.659337,4.389071,59.154793,1.882705,4,2.844491,0,0,0.15,8.823721,0
171,41.65435,38.713261,105.551655,4.384539,16.372364,0.032993,0.062115,0.317551,1,1,241.04565,313.036739,-74.448345,4.384539,58.94051,1.868688,0.241386,1.476544,1,0,0.2,8.894965,0
172,41.725445,43.999026,95.704089,1.989525,16.891587,0.065421,0.0678,0.018348,1,1,240.974555,307.750974,-84.295911,1.989525,60.809713,0.665198,0.382796,1.104422,1,0,0.15,5.563476,0
173,41.732893,43.995318,95.921015,2.007994,17.115291,0.021333,0.088209,0.039348,1,1,240.967107,307.754682,-84.078985,2.007994,61.615048,0.646846,0.238289,0.627293,0,0,0.2,5.552153,0
174,41.746482,43.999297,95.848198,2.01269,17.049388,0.057043,0.096828,0.006096,1,1,240.953518,307.750703,-84.151802,2.01269,61.377797,0.888662,0.286457,2.378462,0,0,0.15,5.551018,0
175,41.748951,43.999249,95.853939,2.01284,17.037702,0.071162,0.058196,0.005958,1,1,240.951049,307.750751,-84.146061,2.01284,61.335727,0.718724,0.190115,2.378578,1,0,0.2,5.550302,0
176,41.770429,38.770894,105.22379,4.355468,16.412665,0.009887,0.065461,0.275336,1,1,240.929571,312.979106,-74.77621,4.355468,59.085594,1.928846,0.266486,1.022241,1,0,0.2,8.89807,0
177,41.773302,38.772149,105.228665,4.35285,16.412487,0.016198,0.065638,0.260702,1,1,240.926698,312.977851,-74.771335,4.35285,59.084953,1.914264,0.286423,1.010013,1,0,0.25,8.897021,0
178,41.775335,38.770629,105.250161,4.358352,16.407972,0.018018,0.065407,0.242418,1,1,240.924665,312.979371,-74.749839,4.358352,59.068699,1.950305,0.286423,1.002532,1,0,0.15,8.892282,0
179,41.781202,38.768298,105.223349,4.357306,16.411416,0.021379,0.064917,0.228648,1,1,240.918798,312.981702,-74.776651,4.357306,59.081098,1.931947,0.388044,0.974271,1,0,0.2,8.899212,0
180,41.78815,43.998034,95.7384,1.996514,17.220065,0.024186,0.077418,0.066472,1,1,240.91185,307.751966,-84.2616,1.996514,61.992234,0.595767,0.23829,1.567572,1,0,0.2,5.567391,0
181,41.795201,43.990359,95.80396,2.01334,17.239365,0.04201,0.074687,0.053816,1,1,240.904799,307.759641,-84.19604,2.01334,62.061714,0.6469,0.067829,1.933641,1,0,0.15,5.567105,0
182,41.86965,48,150.870053,1,16.390019,0.384563,0.059398,0,1,1,240.83035,303.75,-29.129947,1,59.004068,0.421399,4,0,0,1,0.4,0.167014,0
183,41.878282,44.03405,96.047994,1.99066,17.201648,0.027293,0.084874,0.033004,1,1,240.821718,307.71595,-83.952006,1.99066,61.925933,0.623292,0.119437,0.623004,1,0,0.15,5.507768,0
184,42.007759,48,150.939539,1,16.390035,0.391468,0.060391,0,1,1,240.692241,303.75,-29.060461,1,59.004126,0.773053,4,0,0,1,0.35,0.176999,0
185,42.288029,45.759123,149.897858,2.809998,18.812043,0.229435,0.061257,0,1,1,240.411971,305.990877,-30.102142,2.809998,67.723355,0.70499,4,0.411074,0,1,0.25,0.837405,0
186,43.902852,47.861792,145.990035,1.026159,17.692952,0.427553,0.055853,0,1,1,238.797148,303.888208,-34.009965,1.026159,63.694627,0.278763,4,0,0,1,0.5,0.096925,0
187,43.994052,47.867169,145.950111,1.025325,17.753793,0.428586,0.056685,0,1,1,238.705948,303.882831,-34.049889,1.025325,63.913655,0.272483,4,0,0,1,0.5,0.09422,0
